town,federal,state,local,sum,,
VERSHIRE,71491.84,491.99,0,71983.83,,
WAITSFIELD,135062.93,52.56,0,135115.49,,
WALDEN,2172.71,0,0,2172.71,,
WALLINGFORD,296885.15,7340.24,0,304225.39,,
WARDSBORO,3426255.24,12758.72,0,3439013.96,,
WARREN,1088779.96,151701.24,0,1240481.2,,
WASHINGTON,23400.27,12.77,0,23413.04,,
WATERBURY,276262.63,15061.42,340.6,291664.65,,
WATERFORD,0,0,0,0,,
WEATHERSFIELD,2425361.62,13422.84,0,2438784.46,,
WELLS,22862.31,3590.31,0,26452.62,,
WEST RUTLAND,88282.43,7.8,0,88290.23,,
WEST WINDSOR,337438.1,9226.24,0,346664.34,,
WESTFIELD,318211.99,12674.6,0,330886.59,,
WESTMINSTER,505044.51,1216.55,0,506261.06,,
WESTMORE,16210.04,3782.61,0,19992.65,,
WESTON,55519.72,4159.65,0,59679.37,,
WHEELOCK,476.35,0,0,476.35,,
WHITINGHAM,669215.66,22079.93,0,691295.59,,
WILLIAMSTOWN,27561.1,0,0,27561.1,,
WILMINGTON,1517073.03,28215.76,3160.22,1548449.01,,
WINDHAM,153731.26,6134.37,0,159865.63,,
WINDSOR,690.91,67.05,0,757.96,,
WINHALL,405778.69,27268.06,0,433046.75,,
WOLCOTT,167930,0,0,167930,,
WOODBURY,26684.49,0,0,26684.49,,
WOODFORD,2074869.45,380658.45,155000,2610527.9,,
WOODSTOCK,1200585.05,28428.04,0,1229013.09,,
WORCESTER,40282.08,30.96,0,40313.04,,
