town,ihp_total,ha_amount,on_amount,pa_total,hmgp_total,nfi,fema_total,fha
Johnson,2790,2790,0,19622,0,7689.34,30101.34,8113.77
Richmond,222519,212693,9826,122791,0,383799.37,729109.37,3027.5
Killington,108158,107004,1154,2109137,0,0,2217295,738086.73
Kirby,0,0,0,5864,0,0,5864,0
Landgrove,0,0,0,4093,0,0,4093,0
Leicester,10290,10290,0,5435,0,0,15725,0
Lincoln,15763,15563,200,164124,0,49685.78,229572.78,83306.02
Londonderry,281015,274099,6916,194942,621000,589139.72,1686096.72,470242.9
Lowell,2125,2125,0,28415,0,0,30540,63252.18
Ludlow,602342,578938,23404,2164318,0,2831179.42,5597839.42,381249.52
Lyndon,112865,101649,11216,33963,0,672733.03,819561.03,29295.28
Manchester,144971,136185,8786,179158,0,194994.57,519123.57,91890.13
Marlboro,170343,160820,9523,881921,0,56974.96,1109238.96,757972.03
Marshfield,58026,52761,5265,57489,0,0,115515,4390.5
Mendon,23911,23328,583,1502837,0,0,1526748,2391248.99
Middlesex,47697,38420,9278,28632,95000,216004.18,387333.18,3592
Middletown Springs,26711,26711,0,68970,0,6337.2,102018.2,298670.85
Milton,7097,6947,150,46440,0,0,53537,0
Montgomery,13054,12076,978,68840,0,4438.54,86332.54,12715.5
Montpelier,1195196,1064657,130539,19745,0,406781.92,1621722.92,7826.23
Moretown,487322,469342,17980,1931323,0,2578177.87,4996822.87,222224.21
Morgan,0,0,0,1570,0,0,1570,0
Morristown,0,0,0,17928,0,203112.5,221040.5,0
Mount Tabor,19553,19553,0,7588,0,0,27141,66632.21
New Haven,38261,36405,1856,0,0,97147.33,135408.33,0
Newbury,11100,11100,0,49075,0,32083.97,92258.97,2439.36
Newfane,350807,342422,8385,2367170,341000,587710.52,3646687.52,1950341.5
Newport,0,0,0,16392,0,0,16392,49.5
South Burlington,9396,9396,0,6033,0,250.91,15679.91,0
North Hero,0,0,0,0,0,0,0,22501.4
Pomfret,60082,59707,375,766905,0,0,826987,187859.2
Pownal,89957,81144,8813,44055,0,59424.68,193436.68,1115.24
Springfield,41424,39479,1945,90798.5,0,11730.06,143952.56,255.6
Troy,2550,1514,1036,84375,0,33695.61,120620.61,390
Northfield,914009,794566,119443,1298417,1840000,2025259.69,6077685.69,559427.15
Norton,0,0,0,0,0,0,0,0
Norwich,24124,24124,0,1119006,0,0,1143130,0
Orange,7241,7041,200,7126,0,0,14367,21059.3
Orwell,3213,3213,0,55974,0,0,59187,19552.16
Pawlet,145523,133157,12366,327839,0,70106.78,543468.78,503697.36
Peacham,7362,7162,200,44128,0,0,51490,0
Peru,2058,2058,0,276853,0,0,278911,46239.15
Pittsfield,255817,223970,31847,953776,449000,162510.51,1821103.51,3218060.525
Plainfield,2110,2110,0,22940,0,0,25050,469.52
Plymouth,257757,252277,5480,1392397,599000,561286.49,2810440.49,3677161.73
Poultney,52972,50230,2742,123108,0,210123.75,386203.75,1770.97
Proctor,49490,46450,3039,51659,0,153307,254456,4605.71
Putney,41500,41500,0,89646,0,0,131146,0
Reading,219381,217946,1435,1686963,0,68496.41,1974840.41,381361.38
Readsboro,66841,65928,913,628125,367000,0,1061966,1551123.47
Richford,59784,59216,568,229331,0,0,289115,46000
Ripton,5698,5698,0,112741,0,8142.24,126581.24,297976.78
Rochester,362745,328827,33918,2701099,273000,440128.99,3776972.99,5259531.23
Roxbury,256425,250461,5964,1680117,0,54173.66,1990715.66,2277784.4
Royalton,430368,408436,21932,1888525,393000,586826.65,3298719.65,487645.39
Rupert,27895,27895,0,384489,0,19257.34,431641.34,166330.77
Ryegate,68847,68847,0,58168,80000,110064.33,317079.33,0
St. Albans,9637,9637,0,0,0,0,9637,4343.33
St. Johnsbury,11688,11688,0,30741,0,199332.36,241761.36,1484.26
Salisbury,5127,5127,0,0,0,0,5127,0
Sandgate,1901,1901,0,73436,0,0,75337,0
Searsburg,5583,5583,0,231951,0,0,237534,220383.36
Shaftsbury,13896,13439,457,44084,0,56303.85,114283.85,206.88
Sharon,530070,484326,45745,878267,235000,130455.07,1773792.07,201607.62
Sheffield,9242,9242,0,205629.5,0,0,214871.5,3133.93
Shelburne,785,785,0,0,0,0,785,0
Sheldon,0,0,0,0,0,0,0,17774.36
Shoreham,0,0,0,42616,0,0,42616,0
Somerset,0,0,0,60888,0,0,60888,0
South Hero,0,0,0,0,0,0,0,0
Strafford,76079,76079,0,1655730,0,120988.64,1852797.64,197799.37
Woodstock,921539,901899,19640,4204144.5,0,3696504.8,8822188.3,1200585.05
Stamford,8158,7933,225,75014,0,15000,98172,276460.33
Stannard,0,0,0,550946,0,0,550946,0
Starksboro,0,0,0,14955,0,0,14955,8398.5
Stowe,20378,20378,0,303880,0,4346.71,328604.71,252550.68
Stratton,872,872,0,921137,0,0,922009,9671.6
Sudbury,0,0,0,52903,0,0,52903,31430.08
Sunderland,7709,7709,0,68021,0,182853.4,258583.4,139840.88
Sutton,7757,7757,0,27040,0,0,34797,0
Swanton,52,52,0,0,0,0,52,0
Tinmouth,0,0,0,16790,0,0,16790,1449.35
Topsham,11856,11856,0,75861,0,21380.77,109097.77,24849.9
Townshend,60072,58378,1693,1009094,0,0,1069166,18433.69
Tunbridge,18786,18786,0,124098,0,0,142884,135218.17
Underhill,6789,6584,205,0,0,0,6789,0
Vergennes,1622,1622,0,0,0,0,1622,0
Vernon,23161,23161,0,10236,0,1088.76,34485.76,0
Vershire,80066,79066,1000,113744,0,0,193810,71491.84
Waitsfield,163042,159996,3046,175567.5,0,842899.56,1181509.06,135062.93
Walden,0,0,0,253892,0,0,253892,2172.71
Wardsboro,153478,147530,5948,1805112,382000,482389.4,2822979.4,3426255.24
Warren,121792,120679,1113,601992,0,106854.71,830638.71,1088779.96
Washington,5359,5359,0,154544,0,0,159903,23400.27
Waterbury,2608373,2285772,322601,387581,0,5137033.92,8132987.92,276262.63
Waterville,0,0,0,0,0,0,0,0
Wells,5153,5153,0,12039,0,0,17192,22862.31
West Fairlee,41983,41483,500,139138,0,0,181121,0
West Haven,2466,2116,350,76984,0,0,79450,0
West Rutland,106273,104520,1753,19177,0,55126.86,180576.86,88282.43
Westfield,0,0,0,16065,0,0,16065,318211.99
Westford,0,0,0,0,0,0,0,0
Westminster,59980,57079,2901,638104,0,406786.21,1104870.21,505044.51
Westmore,0,0,0,41851,0,0,41851,16210.04
Weston,14717,14717,0,411196,0,188356.08,614269.08,55519.72
Wheelock,0,0,0,306867,0,0,306867,476.35
Whiting,10228,9528,700,10141,0,0,20369,0
Williamstown,40397,39619,778,7761,0,0,48158,27561.1
Williston,1897,1697,200,3804,0,0,5701,0
Wilmington,373366,330783,42582,1486503.5,180000,3106377.37,5146246.87,1517073.03
Windham,1822,1822,0,534829,0,0,536651,153731.26
Windsor,77249,73565,3684,2427352,0,63316.47,2567917.47,690.91
Winooski,0,0,0,0,0,0,0,0
Wolcott,22437,19131,3305,17709,0,38371.57,78517.57,167930
Woodbury,2945,2945,0,300952,0,0,303897,26684.49
Woodford,99888,98476,1413,233878,356000,0,689766,2074869.45
Worcester,18306,18306,0,29802,0,0,48108,40282.08
Glastenbury,0,0,0,0,0,0,0,56325
