Grantee,Amount
TRORC,5862530 
Rural Edge,3398649 
Waterbury,1245000 
BDCC,1000000 
CVCAC,1000000 
CVCLT,950000 
Waitsfield,750000 
HMCC,450000 
Arnett Muldrow and Associates,300000 
BHA,100000 
Wilmington,68182 
