town,ihp_total,ha_amount,on_amount,pa_total,hmgp_total,fema_total,fha,nfi
Milton,7097,6947,150,46440,0,53537,0,0
Montgomery,13054,12076,978,68840,0,81894,0,0
Montpelier,1195196,1064657,130539,19745,0,1214941,0,0
Moretown,487322,469342,17980,1931323,0,2418645,0,0
Morgan,0,0,0,1570,0,1570,0,0
Morristown,0,0,0,17928,0,17928,0,0
Mount Tabor,19553,19553,0,7588,0,27141,0,0
New Haven,38261,36405,1856,0,0,38261,0,0
Newbury,11100,11100,0,49075,0,60175,0,0
Newfane,350807,342422,8385,2367170,341000,3058977,0,0
Newport,0,0,0,16392,0,16392,0,0
South Burlington,9396,9396,0,6033,0,15429,0,0
North Hero,0,0,0,0,0,0,0,0
Pomfret,60082,59707,375,766905,0,826987,0,0
Pownal,89957,81144,8813,44055,0,134012,0,0
Springfield,41424,39479,1945,90798.5,0,191692,0,0
Troy,2550,1514,1036,84375,0,86925,0,0
Northfield,914009,794566,119443,1298417,1840000,4052426,0,0
Norton,0,0,0,0,0,0,0,0
Norwich,24124,24124,0,1119006,0,1143130,0,0
Orange,7241,7041,200,7126,0,14367,0,0
Orwell,3213,3213,0,55974,0,59187,0,0
Pawlet,145523,133157,12366,327839,0,473362,0,0
Peacham,7362,7162,200,44128,0,51490,0,0
Peru,2058,2058,0,276853,0,278911,0,0
Pittsfield,255817,223970,31847,953776,449000,1658593,0,0
Plainfield,2110,2110,0,22940,0,25050,0,0
Plymouth,257757,252277,5480,1392397,599000,2249154,0,0
Poultney,52972,50230,2742,123108,0,176080,0,0
Proctor,49490,46450,3039,51659,0,101148,0,0
Putney,41500,41500,0,89646,0,131146,0,0
Reading,219381,217946,1435,1686963,0,1906344,0,0
Readsboro,66841,65928,913,628125,367000,1061966,0,0
Richford,59784,59216,568,229331,0,289115,0,0
Ripton,5698,5698,0,112741,0,118439,0,0
Rochester,362745,328827,33918,2701099,273000,3336844,0,0
Roxbury,256425,250461,5964,1680117,0,1936542,0,0
Royalton,430368,408436,21932,1888525,393000,2711893,0,0
Rupert,27895,27895,0,384489,0,412384,0,0
Ryegate,68847,68847,0,58168,80000,207015,0,0
St. Albans,9637,9637,0,0,0,9637,0,0
St. Johnsbury,11688,11688,0,30741,0,42429,0,0
Salisbury,5127,5127,0,0,0,5127,0,0
Sandgate,1901,1901,0,73436,0,75337,0,0
Searsburg,5583,5583,0,231951,0,237534,0,0
Shaftsbury,13896,13439,457,44084,0,57980,0,0
Sharon,530070,484326,45745,878267,235000,1643338,0,0
Sheffield,9242,9242,0,205629.5,0,197780,0,0
Shelburne,785,785,0,0,0,785,0,0
Sheldon,0,0,0,0,0,0,0,0
Shoreham,0,0,0,42616,0,42616,0,0
Somerset,0,0,0,60888,0,60888,0,0
South Hero,0,0,0,0,0,0,0,0
Strafford,76079,76079,0,1655730,0,1731809,0,0
Woodstock,921539,901899,19640,4204144.5,0,5219695,0,0
Stamford,8158,7933,225,75014,0,83172,0,0
Stannard,0,0,0,550946,0,550946,0,0
Starksboro,0,0,0,14955,0,14955,0,0
Stowe,20378,20378,0,303880,0,324258,0,0
Stratton,872,872,0,921137,0,922009,0,0
Sudbury,0,0,0,52903,0,52903,0,0
Sunderland,7709,7709,0,68021,0,75730,0,0
Sutton,7757,7757,0,27040,0,34797,0,0
Swanton,52,52,0,0,0,52,0,0
Tinmouth,0,0,0,16790,0,16790,0,0
Topsham,11856,11856,0,75861,0,87717,0,0
Townshend,60072,58378,1693,1009094,0,1069165,0,0
Tunbridge,18786,18786,0,124098,0,142884,0,0
Underhill,6789,6584,205,0,0,6789,0,0
Vergennes,1622,1622,0,0,0,1622,0,0
Vernon,23161,23161,0,10236,0,33397,0,0
Vershire,80066,79066,1000,113744,0,193810,0,0
Waitsfield,163042,159996,3046,175567.5,0,341309,0,0
Walden,0,0,0,253892,0,253892,0,0
Wardsboro,153478,147530,5948,1805112,382000,2340590,0,0
Warren,121792,120679,1113,601992,0,723784,0,0
Washington,5359,5359,0,154544,0,159903,0,0
Waterbury,2608373,2285772,322601,387581,0,2995954,0,0
Waterville,0,0,0,0,0,0,0,0
Wells,5153,5153,0,12039,0,17192,0,0
West Fairlee,41983,41483,500,139138,0,181121,0,0
West Haven,2466,2116,350,76984,0,79450,0,0
West Rutland,106273,104520,1753,19177,0,125450,0,0
Westfield,0,0,0,16065,0,16065,0,0
Westford,0,0,0,0,0,0,0,0
Westminster,59980,57079,2901,638104,0,698084,0,0
Westmore,0,0,0,41851,0,41851,0,0
Weston,14717,14717,0,411196,0,425913,0,0
Wheelock,0,0,0,306867,0,306867,0,0
Whiting,10228,9528,700,10141,0,20369,0,0
Williamstown,40397,39619,778,7761,0,48158,0,0
Williston,1897,1697,200,3804,0,5701,0,0
Wilmington,373366,330783,42582,1486503.5,180000,2030503,0,0
Windham,1822,1822,0,534829,0,536651,0,0
Windsor,77249,73565,3684,2427352,0,2504601,0,0
Winooski,0,0,0,0,0,0,0,0
Wolcott,22437,19131,3305,17709,0,40145,0,0
Woodbury,2945,2945,0,300952,0,303897,0,0
Woodford,99888,98476,1413,233878,356000,689767,0,0
Worcester,18306,18306,0,29802,0,48108,0,0
total,23253141,21669004,1584136,105771365.5,13178000,142356927,0,0
