,Date,,Name,Town,Total Granted,Auto Payment,Auto Ins,Auto Fuel,Auto Repair,Electricity,Electrical Repairs,Furnishings,Health Ins,Home Ins,House hold,House Repairs,Medical,Mortgage,Rent,Moving,Propane/ Pellets/Oil,Phone,Trash,Water Sewer,"Repair Water
"
35,,,Single Woman,Wilmington,0,,,,,,,,,,,,,,,,,,,,
36,10.7.11,,Family,Wilmington,2594.98,,,,,,,,,,,,,,,,,,,,"1,594.98"
,11.4.11,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,
37,,,Single Man,Wilmington,0,,,,,,,,,,,,,,,,,,,,
38,10.7.11,,Single Man,Wilmington,3942.45,,639.00,,,,,,,,,,,,,,,,,,
,10.25.11,,,,,,,,,,,,,,,,,"1,105.04",,,,,,,
,11.17.11,,,,,,,,,,,,,,,,,"1,105.04",,,,,,,
,12.12.11,,,,,,,,,,,,,,,,,"1,093.37",,,,,,,
39,,,Couple,Wilmington,0,,,,,,,,,,,,,,,,,,,,
40,10.7.11,,Family,West Dover,8780.42,789.46,,,,529.77,,,,,,,,,"2,700.00",,695.19,,,,
,,,,,,,,,,,,"4,066.00",,,,,,,,,,,,,
41,10.10.11,,Couple Elder,Wilmington,6149,,,,,,"1,580.00",499.00,,,,,,,,,,,,,"1,200.00"
,11.15.11,,,,,,,,,,,,,,,,,,,,,,,,"2,870.00"
42,10.21.11,,Single Woman,Wilmington,1220.1,,,,,,,,,,,,,,,,,,,"1,220.10",
43,,,Single Mother,Wilmington,0,,,,,,,,,,,,,,,,,,,,
44,10.14.11,,Single Woman,Whitingham,2837.69,,,,,,,,,,,,,774.78,,,862.25,,,,
,11.4.11,,,,,,,,,122.75,,,,144.25,,,,774.78,,,,78.88,,,80.00
45,11.17.11,,Single Woman,Wilmington,1535,,,,,,,,,,,"1,000.00",,,,,,,,,535.00
46,11.14.11,,Single Woman,Wilmington,150,,,,,,,,,,,150.00,,,,,,,,,
47,11.13.11,,Family,Jacksonville,2107.28,,,,,,,,,,,,,,"1,062.00",,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,,193.57,,,,,
,11.11.11,,,,,,,,,,,,,,,,,,,267.37,,,,,
,12.16.11,,,,,,,,,,,,,,,,,,,,,184.34,,,
,12.31.11,,,,,400.00,,,,,,,,,,,,,,,,,,,
48,10.28.11,,Single Mother,Readsboro,1967.69,,217.60,,,590.09,,,,,,,,,480.00,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,,600.00,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,,,,,80.00,,,
49,10.17.11,,Couple,Wilmington,1500,,,,,,,,,,,,,,,,"1,500.00",,,,
50,10.21.11,,Couple,Jacksonville,4271.42,447.71,,,,69.73,,,,,,,,"1,146.86",,,,,,,
,12.15.11,,,,,,,,"1,500.00",,,,,,,,,,,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,"1,107.12",,,,,,,
51,10.17.11,,Single Woman,Whitingham,5000,,,,,,,,,,,"5,000.00",,,,,,,,,
52,10.21.11,,Single Man,Wilmington,1550.84,,,,,75.86,,,,,,,,,,,,,,,
,10.25.11,,,,,,,,,,,,,,,,,,400.00,,,,,,
,12.5.11,,,,,,,,,134.22,,,,,,,,,400.00,,,,,,
,12.16.11,,,,,,,,,140.76,,,,,,,,,400.00,,,,,,
,12.26.11,,,,,,,,,,,,,,,,,,,,,,,,
53,10.21.11,,Couple,Jacksonville,718.19,,,,,,,,718.19,,,,,,,,,,,,
54,,,Single Man,Wilmington,700,,,,,,,,,,,,,,700.00,,,,,,
55,10.21.11,,Family,Wilmington,3160.93,880.98,230.17,,,,,,,,,,,"1,317.97",,,544.14,187.67,,,
56,10.21.11,,Single Woman,Jacksonville,1888.68,,648.25,,,,,,,,,,,715.00,,,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,,,,,,,525.43
57,10.21.11,,Single Mother,East Dover,2032.31,,351.93,,215.90,,,,,,,,,,,,,,,,
,11.22.11,,,,,,,,,,950.00,,,,,,,,,,,,,,
,12.31.11,,,,,,,,,157.43,,,,,,,357.05,,,,,,,,
58,10.21.11,,Single Woman,East Dover,1670.1,,250.21,,,,,,,,,,,,,,,,,,
,10.25.11,,,,,250.00,,50.00,,,,,,,0.00,,39.00,,,,,,,,
,11.22.11,,,,,,,,,,770.00,,,,,,,,,,,,,,
,12.18.11,,,,,,,,,,,,,,,310.89,,,,,,,,,
59,10.21.11,,Single Mother,Wilmington,2429.33,200.00,,,,179.33,,,,,,,,,,,,,,,
,11.4.11,,,,,,,,,,,,,,,,,,"1,600.00",,,,,,
,12.5.11,,,,,200.00,,,,,,,,,,,,,,,,,,,
,12.12.11,,,,,200.00,,50.00,,,,,,,,,,,,,,,,,
60,10.25.11,,Single Mother,East Dover,5922.75,,,,,146.92,,,,,,,,"1,910.71","1,200.00",,422.53,83.88,,,
,11.21.11,,,,,,,,,,,,,,,,,"2,158.71",,,,,,,
61,,,Single Woman,Rye Beach,0,,,,,,,,,,,,,,,,,,,,
62,11.7.11,,Single Mother,Wilmington,3000,,,,,,,,,,,"3,000.00",,,,,,,,,
63,10.25.11,,Family of 5,East Dover,2160.19,,,,,,,,,,527.94,,,,,,,,,,
,11.15.11,,,,,646.00,,,,,,360.13,,,,,,,,,426.12,,,,
